date	close
2013-12-19-16-19-31	1387487971.57
2013-12-19-16-19-33	1387487973.17
2013-12-19-16-19-34	1387487974.93
2013-12-19-16-19-37	1387487977.94
2013-12-19-16-19-39	1387487979.47
2013-12-19-16-19-41	1387487981.03
2013-12-19-16-19-42	1387487982.58
2013-12-19-16-19-44	1387487984.35
2013-12-19-16-19-45	1387487985.9
2013-12-19-16-19-47	1387487987.58
2013-12-19-16-19-49	1387487989.12
2013-12-19-16-19-50	1387487990.67
2013-12-19-16-19-52	1387487992.23
2013-12-19-16-19-53	1387487993.79
2013-12-19-16-19-55	1387487995.34
2013-12-19-16-19-56	1387487996.89
2013-12-19-16-19-58	1387487998.42
2013-12-19-16-20-01	1387488001.43
2013-12-19-16-20-03	1387488003.0
2013-12-19-16-20-04	1387488004.57
2013-12-19-16-20-06	1387488006.15
2013-12-19-16-20-07	1387488007.71
2013-12-19-16-20-09	1387488009.27
2013-12-19-16-20-10	1387488010.82
2013-12-19-16-20-12	1387488012.38
2013-12-19-16-20-13	1387488013.96
2013-12-19-16-20-15	1387488015.65
2013-12-19-16-20-17	1387488017.23
2013-12-19-16-20-19	1387488019.06
2013-12-19-16-20-20	1387488020.61
2013-12-19-16-20-22	1387488022.15
2013-12-19-16-20-23	1387488023.69
2013-12-19-16-20-26	1387488026.7
2013-12-19-16-20-28	1387488028.25
2013-12-19-16-20-29	1387488029.81
2013-12-19-16-20-31	1387488031.41
2013-12-19-16-20-32	1387488032.96
2013-12-19-16-20-34	1387488034.51
2013-12-19-16-20-36	1387488036.09
2013-12-19-16-20-37	1387488037.66
2013-12-19-16-20-39	1387488039.41
2013-12-19-16-20-40	1387488040.96
2013-12-19-16-20-42	1387488042.49
2013-12-19-16-20-45	1387488045.5
2013-12-19-16-20-48	1387488048.5
2013-12-19-16-20-50	1387488050.06
2013-12-19-16-20-51	1387488051.63
2013-12-19-16-20-53	1387488053.18
2013-12-19-16-20-54	1387488054.74
2013-12-19-16-20-56	1387488056.29
2013-12-19-16-20-57	1387488057.87
2013-12-19-16-20-59	1387488059.49
2013-12-19-16-21-01	1387488061.04
2013-12-19-16-21-02	1387488062.61
2013-12-19-16-21-04	1387488064.19
2013-12-19-16-21-05	1387488065.75
2013-12-19-16-21-07	1387488067.32
2013-12-19-16-21-08	1387488068.89
2013-12-19-16-21-10	1387488070.45
2013-12-19-16-21-12	1387488072.02
2013-12-19-16-21-13	1387488073.71
2013-12-19-16-21-15	1387488075.3
2013-12-19-16-21-16	1387488076.86
2013-12-19-16-21-18	1387488078.42
2013-12-19-16-21-19	1387488079.96
2013-12-19-16-21-21	1387488081.51
2013-12-19-16-21-23	1387488083.09
2013-12-19-16-21-26	1387488086.09
2013-12-19-16-21-27	1387488087.64
2013-12-19-16-21-29	1387488089.18
2013-12-19-16-21-30	1387488090.75
2013-12-19-16-21-32	1387488092.31
2013-12-19-16-21-33	1387488093.87
2013-12-19-16-21-35	1387488095.43
2013-12-19-16-21-36	1387488096.98
2013-12-19-16-21-38	1387488098.53
2013-12-19-16-21-40	1387488100.1
2013-12-19-16-21-41	1387488101.79
2013-12-19-16-21-43	1387488103.35
2013-12-19-16-21-45	1387488105.2
2013-12-19-16-21-46	1387488106.77
2013-12-19-16-21-48	1387488108.33
2013-12-19-16-21-49	1387488109.87
2013-12-19-16-21-52	1387488112.88
2013-12-19-16-21-55	1387488115.98
2013-12-19-16-21-57	1387488117.53
2013-12-19-16-21-59	1387488119.08
2013-12-19-16-22-00	1387488120.63
2013-12-19-16-22-03	1387488123.63
2013-12-19-16-22-05	1387488125.17
2013-12-19-16-22-06	1387488126.71
2013-12-19-16-22-08	1387488128.28
2013-12-19-16-22-09	1387488129.84
2013-12-19-16-22-11	1387488131.41
2013-12-19-16-22-14	1387488134.42
2013-12-19-16-22-15	1387488135.98
2013-12-19-16-22-17	1387488137.54
2013-12-19-16-22-19	1387488139.11
2013-12-19-16-22-20	1387488140.66
2013-12-19-16-22-22	1387488142.23
2013-12-19-16-22-23	1387488143.79
2013-12-19-16-22-26	1387488146.8
2013-12-19-16-22-28	1387488148.35
2013-12-19-16-22-29	1387488149.92
2013-12-19-16-22-31	1387488151.7
2013-12-19-16-22-33	1387488153.26
2013-12-19-16-22-34	1387488154.83
2013-12-19-16-22-36	1387488156.4
2013-12-19-16-22-39	1387488159.41
2013-12-19-16-22-42	1387488162.41
2013-12-19-16-22-43	1387488163.96
2013-12-19-16-22-45	1387488165.64
2013-12-19-16-22-47	1387488167.22
2013-12-19-16-22-48	1387488168.85
2013-12-19-16-22-51	1387488171.86
